Year	Month	Day	CozyFlatbytheLakePricePerNight	CozyFlatbytheLakeAvailability	CozyFlatbytheLakeMinLengthOfStay	CozyFlatbytheLakeApartment Options	
2024    3       28      40.0                                  1                                    2                                       Kondicioner	
2024    3       29      40.0                                  1                                    1                                       Kondicioner	
2024    3       30      40.0                                  1                                    1                                       Kondicioner	
2024    3       31      40.0                                  1                                    2                                       Kondicioner	
2024    4       1       40.0                                  1                                    2                                       Kondicioner	
2024    4       2       40.0                                  1                                    2                                       Kondicioner	
2024    4       3       40.0                                  1                                    2                                       Kondicioner	
2024    4       4       40.0                                  1                                    2                                       Kondicioner	
2024    4       5       40.0                                  1                                    2                                       Kondicioner	
2024    4       6       40.0                                  1                                    2                                       Kondicioner	
2024    4       7       40.0                                  1                                    2                                       Kondicioner	
2024    4       8       40.0                                  1                                    2                                       Kondicioner	
2024    4       9       40.0                                  1                                    2                                       Kondicioner	
2024    4       10      40.0                                  1                                    2                                       Kondicioner	
2024    4       11      40.0                                  1                                    2                                       Kondicioner	
2024    4       12      40.0                                  1                                    2                                       Kondicioner	
2024    4       13      40.0                                  1                                    2                                       Kondicioner	
2024    4       14      40.0                                  1                                    2                                       Kondicioner	
2024    4       15      40.0                                  1                                    2                                       Kondicioner	
2024    4       16      40.0                                  1                                    2                                       Kondicioner	
2024    4       17      40.0                                  1                                    2                                       Kondicioner	
2024    4       18      40.0                                  1                                    2                                       Kondicioner	
2024    4       19      40.0                                  1                                    2                                       Kondicioner	
2024    4       20      40.0                                  1                                    2                                       Kondicioner	
2024    4       21      40.0                                  1                                    2                                       Kondicioner	
2024    4       22      40.0                                  1                                    2                                       Kondicioner	
2024    4       23      40.0                                  1                                    2                                       Kondicioner	
2024    4       24      40.0                                  1                                    2                                       Kondicioner	
2024    4       25      40.0                                  1                                    2                                       Kondicioner	
2024    4       26      40.0                                  1                                    2                                       Kondicioner	
2024    4       27      40.0                                  1                                    2                                       Kondicioner	
2024    4       28      40.0                                  1                                    2                                       Kondicioner	
2024    4       29      40.0                                  1                                    2                                       Kondicioner	
2024    4       30      40.0                                  1                                    2                                       Kondicioner	
2024    5       1       40.0                                  1                                    2                                       Kondicioner	
2024    5       2       40.0                                  1                                    2                                       Kondicioner	
2024    5       3       40.0                                  1                                    2                                       Kondicioner	
2024    5       4       40.0                                  1                                    2                                       Kondicioner	
2024    5       5       40.0                                  1                                    2                                       Kondicioner	
2024    5       6       40.0                                  1                                    2                                       Kondicioner	
2024    5       7       40.0                                  1                                    2                                       Kondicioner	
2024    5       8       40.0                                  1                                    2                                       Kondicioner	
2024    5       9       40.0                                  1                                    2                                       Kondicioner	
2024    5       10      40.0                                  1                                    2                                       Kondicioner	
2024    5       11      40.0                                  1                                    2                                       Kondicioner	
2024    5       12      40.0                                  1                                    2                                       Kondicioner	
2024    5       13      40.0                                  1                                    2                                       Kondicioner	
2024    5       14      40.0                                  1                                    2                                       Kondicioner	
2024    5       15      40.0                                  1                                    2                                       Kondicioner	
2024    5       16      40.0                                  1                                    2                                       Kondicioner	
2024    5       17      40.0                                  1                                    2                                       Kondicioner	
2024    5       18      40.0                                  1                                    2                                       Kondicioner	
2024    5       19      40.0                                  1                                    2                                       Kondicioner	
2024    5       20      40.0                                  1                                    2                                       Kondicioner	
2024    5       21      40.0                                  1                                    2                                       Kondicioner	
2024    5       22      40.0                                  1                                    2                                       Kondicioner	
2024    5       23      40.0                                  1                                    2                                       Kondicioner	
2024    5       24      40.0                                  1                                    2                                       Kondicioner	
2024    5       25      40.0                                  1                                    2                                       Kondicioner	
2024    5       26      40.0                                  1                                    2                                       Kondicioner	
2024    5       27      40.0                                  1                                    2                                       Kondicioner	
2024    5       28      40.0                                  1                                    2                                       Kondicioner	
2024    5       29      40.0                                  1                                    2                                       Kondicioner	
2024    5       30      40.0                                  1                                    2                                       Kondicioner	
2024    5       31      40.0                                  1                                    2                                       Kondicioner	
2024    6       1       40.0                                  1                                    2                                       Kondicioner	
2024    6       2       40.0                                  1                                    2                                       Kondicioner	
2024    6       3       40.0                                  1                                    2                                       Kondicioner	
2024    6       4       40.0                                  1                                    2                                       Kondicioner	
2024    6       5       40.0                                  1                                    2                                       Kondicioner	
2024    6       6       40.0                                  1                                    2                                       Kondicioner	
2024    6       7       40.0                                  1                                    2                                       Kondicioner	
2024    6       8       40.0                                  1                                    2                                       Kondicioner	
2024    6       9       40.0                                  1                                    2                                       Kondicioner	
2024    6       10      40.0                                  1                                    2                                       Kondicioner	
2024    6       11      40.0                                  1                                    2                                       Kondicioner	
2024    6       12      40.0                                  1                                    2                                       Kondicioner	
2024    6       13      40.0                                  1                                    2                                       Kondicioner	
2024    6       14      40.0                                  1                                    2                                       Kondicioner	
2024    6       15      40.0                                  1                                    2                                       Kondicioner	
2024    6       16      40.0                                  1                                    2                                       Kondicioner	
2024    6       17      40.0                                  1                                    2                                       Kondicioner	
2024    6       18      40.0                                  1                                    2                                       Kondicioner	
2024    6       19      40.0                                  1                                    2                                       Kondicioner	
2024    6       20      40.0                                  1                                    2                                       Kondicioner	
2024    6       21      40.0                                  1                                    2                                       Kondicioner	
2024    6       22      40.0                                  1                                    2                                       Kondicioner	
2024    6       23      40.0                                  1                                    2                                       Kondicioner	
2024    6       24      40.0                                  1                                    2                                       Kondicioner	
2024    6       25      40.0                                  1                                    2                                       Kondicioner	
2024    6       26      40.0                                  1                                    2                                       Kondicioner	
2024    6       27      40.0                                  1                                    2                                       Kondicioner	
2024    6       28      40.0                                  1                                    2                                       Kondicioner	
